datetime,author,body
1228269347564441602,2020-02-14 10:46:47,"RT @IsChinar: People everywhere do their duty and volunteer for quarantine 

#coronavirus #CoronavirusOutbreak #Wuhan #coronaviruschina #co…"
1228269339557728256,2020-02-14 10:46:45,RT @IsChinar: The wise doctors found a man to be sick while driving and the gentleman volunteered to be quarantined for the good of the wor…
1228269332716752897,2020-02-14 10:46:43,"RT @QuickTake: Here’s a look at images of the #coronavirus from the National Institute of Allergy and Infectious Disease.

📷: NIAID-RML #Co…"
1228269328891383808,2020-02-14 10:46:42,"RT @mqaashishsenior: #WorldSavior_SaintRampalJi
Famous France foreteller Nostradamus predicted 450years ago in 21st century one man will le…"
1228269324130897920,2020-02-14 10:46:41,"RT @timesofindia: #CoronavirusOutbreak: SpiceJet to suspend Hong Kong flights from February 16 to 29 

https://t.co/RnlpITW0AE via @TOIBusi…"
1228269300814897155,2020-02-14 10:46:36,"RT @DVATW: Does ANYBODY believe a word the communist Chinese Government says on #coronavirusoutbreak 
https://t.co/304FlpFzd9"
1228269290350051328,2020-02-14 10:46:33,"RT @virhostnet: To our @virhostnet followers @EVirusBioinfC @cellhostmicrobe  #CoronavirusOutbreak #nCoV2019  
virhostnet2 interology webse…"
1228269281567072257,2020-02-14 10:46:31,"RT @QuickTake: What would you do if you had to work from home for a month because of the #CoronavirusOutbreak?

Here's the @QuickTake Asia…"
1228269275925766145,2020-02-14 10:46:30,RT @kr3at: #Coronavirus in Westminster: Chinese woman went to #UK bus conference attended by 250 people including MPs and chief executives …
1228269265444196352,2020-02-14 10:46:27,"RT @IsChinar: Medical professionals respond to a voluntary request for quarantine 

#coronavirus #CoronavirusOutbreak #Wuhan #coronavirusch…"
1228269265020690433,2020-02-14 10:46:27,"RT @IsChinar: Under the wise leadership of the Party,  The Affiliated Hospital of Chongqing Medical University sent a fifth wave of 160 med…"
1228269264336912384,2020-02-14 10:46:27,"RT @BeThePlan: What if [they] are trying to kill off as many people as possible, anyhow [they] can, while [they] still can... what if it’s…"
1228269245005352960,2020-02-14 10:46:22,"RT @IsChinar: More fires...you can tell by the white smoke that the doors weren't welded shut 

#coronavirus #CoronavirusOutbreak #Wuhan #c…"
1228269244959338501,2020-02-14 10:46:22,"RT @CGTNOfficial: A mom records the moment a young boy gives Lantern Festival gifts to his father, a police officer who has not returned ho…"
1228269234049998848,2020-02-14 10:46:20,RT @jenniferatntd: I tweeted this before. This time with Titles. Blocking the gate with characteristics of Northeast #China. the gate will…
1228269232585990144,2020-02-14 10:46:19,"RT @DoomedShail: #WorldSavior_SaintRampalJi

Saint Rampal Ji Maharaj guarantees Salvation ,

It's  god promise to give his devotee happines…"
1228269229687754752,2020-02-14 10:46:19,RT @kr3at: Foreigners trapped in #Wuhan are living in 'total terror' over fears they will be infected with #coronavirus and are competing w…
1228269215926378500,2020-02-14 10:46:15,RT @IsChinar: With villages closed and roads blocked not only has livestock starved but the farmers are forced to dump excess goods because…
1228269205549531136,2020-02-14 10:46:13,"RT @IsChinar: Fires all over China

#coronavirus #CoronavirusOutbreak #Wuhan #coronaviruschina #coronavirusaustralia #CoronaVirusCanada htt…"
1228269188151513089,2020-02-14 10:46:09,"Corona Virus COVID19throwing all macroeconomists in a tizzy. Nevertheless, bhaktoids will attribute the inevitable… https://t.co/DiTTr0Mghy"
1228269141452185600,2020-02-14 10:45:58,"RT @anorocbird: Latest Updates
#COVID19
#CoronavirusOutbreak

February 13:
3 new cases in Hong Kong include a mother and her 37-years old s…"
1228269098456539138,2020-02-14 10:45:47,"RT @QuickTake: Here’s how the #coronavirus has spread globally: 🇨🇳🇹🇭🇯🇵🇰🇷🇹🇼🇺🇸🇭🇰🇸🇬🇻🇳🇳🇵🇫🇷🇦🇺🇲🇾🇨🇦🇰🇭🇱🇰🇩🇪🇦🇪🇮🇳🇵🇭🇫🇮🇬🇧🇮🇹🇪🇸🇸🇪🇷🇺
#CoronavirusOutbreak h…"
1228269095440834560,2020-02-14 10:45:47,RT @livecrisisnews: CORONAVIRUS EPICENTER: Wuhan &amp; surrounding cities heard a loud explosion followed by alot of shaking on the ground. It…
1228269081301803008,2020-02-14 10:45:43,"RT @IsChinar: The virus spreads to Hainan island with a sudden eruption of cases a d deaths.

#coronavirus #CoronavirusOutbreak #Wuhan #cor…"
1228269041019584517,2020-02-14 10:45:34,"RT @DocRock1007: 48. Man reportedly'd just returned from #Wuhan, the city where the epidemic has spread. When the police tried to return hi…"
1228269034581450752,2020-02-14 10:45:32,"RT @GabdgMedia: 🔴BREAKING NEWS: Amid #CoronavirusOutbreak, the Philippines lifts travel ban to Taiwan. This comes after calls from both Tai…"
1228269026855403521,2020-02-14 10:45:30,RT @ISCResearch: The #Chinese government leaves hundreds of tonnes garlic into the #Wuebei region because the garlic is supposed to act aga…
1228269025643368449,2020-02-14 10:45:30,"RT @IsChinar: #shenzhen #shekou #Gardencity total quarantine, surrounding complexes are said to be next...I hope everyone has food and wate…"
