datetime,author,body
1308041179204812800,asfandy27834668,"RT @asfandy27834668: If COVID19 is spiking (or) so you think 🤔 &amp; predict it’s going to spike. What do you buy????
#AMZN 💯 
#AAPL 💯"
1308035296966176768,asfandy27834668,"RT @asfandy27834668: COVID-19 Spike &amp; all last week every analyst said “Value Rotation 🤯”wtf

Ya .. Work-From-Home &amp; back into TECH 💪 (I be…"
1308035241014157313,asfandy27834668,"COVID-19 Spike &amp; all last week every analyst said “Value Rotation 🤯”wtf

Ya .. Work-From-Home &amp; back into TECH 💪 (I… https://t.co/YvZ2qq7L2j"
1308034282997329925,PriceAc04946726,"Wtf is going on someone get Powell on the line  
#spy #tsla #nvda #amd #aapl"
1308031102402080776,GiancanaSonny,#AAPL chart https://t.co/1JEeeSI0pL via https://t.co/Pxffjp83pS
1308029750309466118,TraderCT,#TrevorMilton is essentially trying to be #ElonMusk @elonmusk like Elizabeth Holmes tried to be Steve Jobs. Total f… https://t.co/xUpMt6tFCk
1308027637500178432,LFTrading,"Markets keep crashing: SELL mode.
""How To Catch Trades That Immediately Explode Into Profit""… https://t.co/bejMCTilmU"
1308008415529177093,gmtt_s,"#AAPL #FAANG Apple (AAPL):
Apple is another stock that is down over 15% since we gave a sell signal below 127.
Next… https://t.co/qSFPQsgqcM"
1308007564479803392,NVKYN,#AAPL has been slowly correcting. Where are my Apple bulls? 😏 https://t.co/CrOyjnU9qZ
1308004491095142401,eCommGuy,Stock Market &amp; Trading Recap for Monday 9/14/2020 #SAVA &amp; #AAPL - Time to Learn Trade &amp; Profit | Official CBD News https://t.co/5vHb8jsvUn
1307998779807686656,designyourinves,#AAPL #AGNC #AGNCM #AGNCN Retiring In Malaysia: Round 2 https://t.co/ONcGNuuBkM
1307990173917966336,Dougie_dee,Apple to $100 - #AAPL chart https://t.co/Y4gdLCKEAW
1307986247869255680,blackflagfuture,"#AAPL  - Apple
Trading Opportunities on CL, GC, ES, and NQ
using SwingArms and blackFLAG FTS PLATINUM Ver. 5.0… https://t.co/4LY5LYclI4"
1307984172430974976,designyourinves,"#QQQ #AAPL #D_M_Martins_Research Why Apple Is A Stock To Own, Not To Trade https://t.co/spKqscyyyg"
1307973321347092480,Iamanirudhsethi,#AAPL :Below $111 ...............My Target : 102----99 soon very soon !! https://t.co/oF1GYIjgca
1307972999614611456,Bullishcharts01,Apple Could see 30% decline.  - #AAPL chart https://t.co/uxeXSu3jaU
1307966695298887681,MrJiib,Will #AAPL actually hit below $100 within this week or next? 🤔
1307958303134187521,FabiLtm,"@Apple today would be the perfect time to announce the #iPhone12 #Keynote according to #aapl #stock .
Some news cou… https://t.co/dMTDZDJHzy"
1307946174276448256,designyourinves,#AAPL #AXGT #AXP #JPM Week 39 MDA Breakout Forecast: Short-Term Picks To Give You An Edge https://t.co/uLsSMC3hfT
1307938285017161728,maxxrpbtc,#cryptocurrency #crypto #stocks #aapl #amzn $aapl $amzn #amazon #apple #tesla #oxt $oxt #bitcoin #eth #xrp https://t.co/ysKNBbtMve
1307932703728308230,XtradesOfficial,Close or hold😂🙃 #BABA #AAPL #NFLX #MSFT #BYND #ROKU https://t.co/SXR3Qr3waK
1307930330930778112,sharenavigator,"Profit from #Apple Shares Falling. #AAPL 
https://t.co/IwZqfgTKJo"
1307905025767809024,GMT_GrowMoney,"Please watch and share! 
https://t.co/nw1Iy9ndnE 

Stocks
#GOOS
#K
#TSLA
#NEXT
#KODK

#HSE
#AZM
#FB
#AAPL

#MRS… https://t.co/HqOlC4g1ls"
1307872567097790465,GeneEvangelist,"Apple stock looks like it had 2 perfect waves with 62% retracements setting up for a third, with a potential 62% re… https://t.co/eIiudrS5Aq"
1307868684464066565,GeneEvangelist,"@PeterLBrandt Are these 2 perfect waves with 62% retracements setting up for a third, with a potential 62% retracem… https://t.co/DdgEq4gDV9"
1307851352031277056,elliottwaves,#Free Trial available at  https://t.co/x2kmaKA6Ui #SPY #GDX #XME #XLE #IYR #AAPL #FB #AMZN #NFLX #GOOGL #MSFT #NVDA… https://t.co/ag0PGnmXJE
1307823685135413249,tgallagherstcks,RT @ianandbike: Nobody writes about #AAPL and computing like @asymco does.  This is not really about the watch but about the future of tech…
1307819272375341056,B_to_z_k,"The Sep 3rd market pullback started because Market Makers are delta hedging their positions. However, there is over… https://t.co/dhJHstj4Ek"
1307795063582453761,c_labrinos,"RT @ITRADEVOL: Is it possible to predict stock price like $AAPL and $AMZN for example, movement by looking at its option chain data? How? h…"
1307794165930098688,ITRADEVOL,"Is it possible to predict stock price like $AAPL and $AMZN for example, movement by looking at its option chain dat… https://t.co/dxjF9CvFMq"
1307790883664748546,mcleodesc,Apple with FIBO.  - #AAPL chart https://t.co/NOByWrS4Ya
1307784068088692741,winner_trader,$AAPL Oversold indicators - Bounce to 113.8 then update - #AAPL TradingView https://t.co/SKnONPrbdP
1307772405176180736,dailytradingapp,#AAPL #AlbertEdwards 'Too Early For Victory Laps': Stock Market Update For The Week Ahead https://t.co/OQUBRTCoNY https://t.co/AxW213ueZE
1307766905403576321,francvs,Stock Market &amp; Trading Recap for Monday 9/14/2020 #SAVA &amp; #AAPL - Time to Learn Trade &amp; Profit - YouTube https://t.co/1TFUulNyyi
1307756296209342465,GregTheKing6,"Special gift to all my #eFI followers 🤩
-&gt; Follow the AirDrop link up 🔝 
#AMPL + #YFI ——&gt; #AAPL 😇 https://t.co/zXzk1bSYi2"
1307740305232482304,RecksterC,@Apex_KJ @c_labrinos #AAPL could be the low low $106.09 😊
1307734695845691393,c_labrinos,RT @loot_easy: Apple Bottomed Out? Watch These Levels Daily $AAPL - #AAPL chart https://t.co/7SXLq1ZObT
1307734227161460736,loot_easy,Apple Bottomed Out? Watch These Levels Daily $AAPL - #AAPL chart https://t.co/7SXLq1ZObT
1307729437157400578,UpdatesOil,"RT @pippoita88: MacroView: Newton, Physics And The Market Bubble. https://t.co/3FSBXeAviX  https://t.co/fb8xzoGvqk #ES_F #MSFT #OOTT #OATT…"
1307726880330493952,1MarketAlerts,"Pay attention when H&amp;S pattern is completed.

@PeterLBrandt 

#AAPL H&amp;S https://t.co/MfkjF8jKT2 https://t.co/fc0T4u6nxI"
1307725056114655235,pippoita88,"MacroView: Newton, Physics And The Market Bubble. https://t.co/3FSBXeAviX  https://t.co/fb8xzoGvqk #ES_F #MSFT… https://t.co/aqWb0VPI8f"
1307722033719984128,sh4rizel,Trending alts #blueprotocol. Low total supply token only 42mil. listed in uniswap!! insured your crypto against unc… https://t.co/QIjg7xWPkL
1307714925259882502,jhfirstcapadv,"A spike in economic activity is revealed in a latest mobility report by $AAPL. According to the report, there has b… https://t.co/29FpfgqH2j"
1307711769280880640,56marci,RT @stannabozny: The Big Five #FAANG Stock and Sector Service is now posted for Sunday       #AMZN #AAPL #FB #NFLX #TSLA #GOOGL and  Sector…
1307708606884851713,CastleInfo,"The Dow Index failed to perform as well as the other stock market indices in 2020, despite $AAPL making up more tha… https://t.co/3bKEE3H0em"
1307704963913715712,tjseekerisms,RT @TraderAussie: ggp 2nd most purchased stock by ALL of Hargreaves Lansdowns customers last week...more than Apple #aapl and Tesla #tsla..…
1307697587525357568,StrawHatStocks,RT @reciknows: [Thread] Daily🍎 on $AAPL! Let's take a look at the big picture here. This is the channel that's formed on #AAPL since March.…
1307691092335353858,brian_lindquist,RT @reciknows: [Thread] Daily🍎 on $AAPL! Let's take a look at the big picture here. This is the channel that's formed on #AAPL since March.…
1307690718488657921,jeremyparkeraim,RT @TraderAussie: ggp 2nd most purchased stock by ALL of Hargreaves Lansdowns customers last week...more than Apple #aapl and Tesla #tsla..…
1307690690567172098,jeremyparkeraim,RT @matt801724: #GGP 2nd most purchased stock by ALL of Hargreaves Lansdowns customers last week...more than Apple #aapl and Tesla #tsla...…
1307682682856505344,stannabozny,The Big Five #FAANG Stock and Sector Service is now posted for Sunday       #AMZN #AAPL #FB #NFLX #TSLA #GOOGL and… https://t.co/H7YrdMRqFz
1307678399566024704,es_tradingview,#AAPL - AAPL: cerrando el gap. - TradingView - https://t.co/V4gf2zbp60
1307622150615040000,stonks4dummies,RT @reciknows: [Thread] Daily🍎 on $AAPL! Let's take a look at the big picture here. This is the channel that's formed on #AAPL since March.…
1307609158951211008,SeroDanielle,"@MikeEdward_TTG @TrueTradingGrp Be sure to have study course before trading. I'm giving free signals everyday, it s… https://t.co/FYy814E32E"
1307609113719783424,SeroDanielle,"@FMS_Live Be sure to have study course before trading. I'm giving free signals everyday, it should be free, no char… https://t.co/iv2gDLPG9M"
1307609055288913920,SeroDanielle,"@daytradecoach Be sure to have study course before trading. I'm giving free signals everyday, it should be free, no… https://t.co/SL0sFmiVCP"
1307609015342432256,SeroDanielle,"@jtraderco Be sure to have study course before trading. I'm giving free signals everyday, it should be free, no cha… https://t.co/v6uNv0wCR6"
1307608928381857794,SeroDanielle,"@vir540 Be sure to have study course before trading. I'm giving free signals everyday, it should be free, no charge… https://t.co/PykRo9SFhp"
1307602888982704128,bluetomato64,RT @TraderAussie: ggp 2nd most purchased stock by ALL of Hargreaves Lansdowns customers last week...more than Apple #aapl and Tesla #tsla..…
1307595860545400833,SeroDanielle,"@GodfreyReport @WyckoffAnalysis Be sure to have study course before trading. I'm giving free signals everyday, it s… https://t.co/5MlLxfnH4Y"
1307595836214321153,SeroDanielle,"@FireBrandCoach Be sure to have study course before trading. I'm giving free signals everyday, it should be free, n… https://t.co/LvFZQpJFkB"
1307595692379181058,HustleWithTJ,@TradeandGrowth Where do you see the #AAPL share price in 2-3 years?
1307595415739564032,pippoita88,https://t.co/MgA1uLtYXu #ES_F #MSFT #OOTT #OATT $SPY $SPX #Trading #Fb #forexsignals #EURUSD #GBPUSD #OPEC… https://t.co/qw8bn9Bnbe
1307595411834589184,SeroDanielle,"@LB48639212 Be sure to have study course before trading. I'm giving free signals everyday, it should be free, no ch… https://t.co/pnj4fjbYKy"
1307595348941049856,SeroDanielle,"@Garsonnoir Be sure to have study course before trading. I'm giving free signals everyday, it should be free, no ch… https://t.co/CxLpBxhPUK"
1307595314782564352,SeroDanielle,"@shortsideonly Be sure to have study course before trading. I'm giving free signals everyday, it should be free, no… https://t.co/G5jJyg4TSu"
1307595288882806784,SeroDanielle,"@trade_4_livin Be sure to have study course before trading. I'm giving free signals everyday, it should be free, no… https://t.co/8lMtiKxsl6"
1307589991984279557,SeroDanielle,"@sophia_mia20 Be sure to have study course before trading. I'm giving free signals everyday, it should be free, no… https://t.co/ntu0NHcJ8l"
1307589960036315136,SeroDanielle,"@Tickeron Be sure to have study course before trading. I'm giving free signals everyday, it should be free, no char… https://t.co/ki5win1PB1"
1307589911319515137,SeroDanielle,"@Master_Trader1 Be sure to have study course before trading. I'm giving free signals everyday, it should be free, n… https://t.co/s3baNEdocr"
1307587691672817664,SeroDanielle,"@SCORPIO_JEREMY Be sure to have study course before trading. I'm giving free signals everyday, it should be free, n… https://t.co/ipTKlWSYbc"
1307587631144792064,SeroDanielle,"@JOSECALCAS1 @BearBullTraders Be sure to have study course before trading. I'm giving free signals everyday, it sho… https://t.co/xOlUdp5g90"
1307587598102142979,SeroDanielle,"@TraderBDub Be sure to have study course before trading. I'm giving free signals everyday, it should be free, no ch… https://t.co/r6QzZyEjYK"
1307583712616472578,williamjohnand1,RT @TraderAussie: ggp 2nd most purchased stock by ALL of Hargreaves Lansdowns customers last week...more than Apple #aapl and Tesla #tsla..…
1307582625712799744,SeroDanielle,"@dinzediony Be sure to have study course before trading. I'm giving free signals everyday, it should be free, no ch… https://t.co/tPD9xGJU7W"
1307582574265470976,SeroDanielle,"@daytrademarket Be sure to have study course before trading. I'm giving free signals everyday, it should be free, n… https://t.co/xHvtsE3aO1"
1307580852503638016,SeroDanielle,"@ForNifty Be sure to have study course before trading. I'm giving free signals everyday, it should be free, no char… https://t.co/n4JC7Xca7B"
1307570413426233344,SeroDanielle,"@nitz30 Be sure to have study course before trading. I'm giving free signals everyday, it should be free, no charge… https://t.co/i5Wz6yVrWV"
1307569959019528200,SeroDanielle,"@swap_hunter Be sure to have study course before trading. I'm giving free signals everyday, it should be free, no c… https://t.co/ePaOsRulUV"
1307569911078682624,SeroDanielle,"@LTWealthLLC Be sure to have study course before trading. I'm giving free signals everyday, it should be free, no c… https://t.co/boEfhvSoKc"
1307569809077407746,SeroDanielle,"@Triton_Capital Be sure to have study course before trading. I'm giving free signals everyday, it should be free, n… https://t.co/ipDuEta01r"
1307569731692494849,SeroDanielle,"@TheExpandable1 Be sure to have study course before trading. I'm giving free signals everyday, it should be free, n… https://t.co/5xD70fuaWV"
1307569685789995008,SeroDanielle,"@My_Tousha Be sure to have study course before trading. I'm giving free signals everyday, it should be free, no cha… https://t.co/Tz9M5KPQ9B"
1307569040106246149,SeroDanielle,@BellaLi00801584 true. #signals #daytrading #daytrader #swingtrading #forex #stockmarket #eurusd #xauusd #trading… https://t.co/rbTo017ElS
1307568959466565637,SeroDanielle,@WinforceF nice pips. #signals #daytrading #daytrader #swingtrading #forex #stockmarket #eurusd #xauusd #trading… https://t.co/PeEwSa8NdI
1307568849747812353,SeroDanielle,@sumitkbehal nice. #signals #daytrading #daytrader #swingtrading #forex #stockmarket #eurusd #xauusd #trading… https://t.co/08hvxWE08f
1307568780747259906,SeroDanielle,"@Caseforsilver silver is like gold. 
#signals #daytrading #daytrader #swingtrading #forex #stockmarket #eurusd… https://t.co/dc5xKpvUKC"
1307568647892643840,SeroDanielle,@Cryptoroid trade buy bitcoin. #signals #daytrading #daytrader #swingtrading #forex #stockmarket #eurusd #xauusd… https://t.co/Brb5ZS2cTb
1307568274238894080,SeroDanielle,@DigitexFutures @Ripple ripple is the future. #signals #daytrading #daytrader #swingtrading #forex #stockmarket… https://t.co/4DrrBovQBk
1307567972991393792,SeroDanielle,@divyamkh @varun23oct was it a good trade? #signals #daytrading #daytrader #swingtrading #forex #stockmarket… https://t.co/DSS9I364yk
1307566445715320832,SeroDanielle,These should indicate a good trade. #signals #daytrading #daytrader #swingtrading #forex #stockmarket #eurusd… https://t.co/8fwOPyiGhp
1307550785819959296,aliakba69663453,RT @reciknows: [Thread] Daily🍎 on $AAPL! Let's take a look at the big picture here. This is the channel that's formed on #AAPL since March.…
1307542944002592769,VegaAxis,(1/6) Two things I am loving about #AAPL this week; 1- they have finally opened up to the idea of selling the famou… https://t.co/v2ofMZY8GM
1307542112733364224,c_labrinos,"RT @HieronimusHendy: 09/21/2020 
Trading Plan : $NDX.

1. Bull maintain 10950-11k . (Long Play)
2. Bear could defend $11200-11300 area. (Sh…"
1307541823787880453,HieronimusHendy,"09/21/2020 
Trading Plan : $NDX.

1. Bull maintain 10950-11k . (Long Play)
2. Bear could defend $11200-11300 area.… https://t.co/Ne2wMStfUn"
1307541084063498241,BuellerTrades,RT @mithun2kris: #AAPL - Newton sitting at 100.73 https://t.co/RhpRb4HcKq
1307537081275691010,jonathanrferrer,"I'll start it off...

$TSLA #AAPL $GOOGL $AMZN $TTD $TMUS $BABA $LLNW $DIS $ACN $JNJ $UNP $NSC $HRL $O $STOR $GWW… https://t.co/DQsYh2m2kZ"
1307531330691899392,mithun2kris,#AAPL - Newton sitting at 100.73 https://t.co/RhpRb4HcKq
1307509794115391490,elliottwaves,#Free Trial available at  https://t.co/x2kmaKA6Ui #SPY #GDX #XME #XLE #IYR #AAPL #FB #AMZN #NFLX #GOOGL #MSFT #NVDA… https://t.co/dyXonoKew4
1307504724015423488,azaria_trades,RT @reciknows: [Thread] Daily🍎 on $AAPL! Let's take a look at the big picture here. This is the channel that's formed on #AAPL since March.…
1307501617210507264,reciknows,[Thread] Daily🍎 on $AAPL! Let's take a look at the big picture here. This is the channel that's formed on #AAPL sin… https://t.co/Hiozsh4W7Q
1307492139639681025,bravo_nikola,"Tagged the 38.2% fib retracement to the penny!
#aapl #apple #fintwit #es_f $es_f $nq_f #nasdaq #nasdaq100 https://t.co/HWNBGpnkgC"
1307487913433731072,PNGEtrades,@ntfri Clearly not.... Because #AAPL s don’t fall in this market lol.
1307486705000349697,stonkscheer,"RT @pop_ey_ch: #AAPL 1D/4H MACD. Have all ingredients to be short the stock.

#SPX https://t.co/JswEWKN9mC"
1307486013154111490,1stsmartercheat,"RT @pop_ey_ch: #AAPL 1D/4H MACD. Have all ingredients to be short the stock.

#SPX https://t.co/JswEWKN9mC"
1307481643817476096,samstrades,"P/E of 35x was too high, I think a further 10-15% would be good and make it attractive to invest in again #ausbiz… https://t.co/V7q4Copto3"
1307478380749651968,elliottwaves,"If you #trade #stocks like #FB, #AAPL, #AMZN, #AMD, #GOOGL, #MSFT #TSLA &amp; #ETF's like #SPY, #GDX #IYR, #Indices lik… https://t.co/vqGnyea5Na"
1307463179761381377,Bizniz203,Makes sense why #AAPL stock is tanking. They hold zero #bitcoin on balance sheet and massive amount of cash. That c… https://t.co/1WbsBNRZYn
1307454222007439363,KatyWaran,Not AT&amp;T but it is Apple that needs to make a bigger deal of its launch of 5G iPhone in October. Watch Stock prices… https://t.co/odTYeOfmnx
1307443573957296132,osmantakim,@SPXTrades #AAPL Would love it at 99.33$ and add at 82$
1307442540078006272,ahmed_settouti,sell  - #AAPL chart https://t.co/EJ84IJgndM
1307440664284725249,stockkingoption,"🍏 $AAPL contact us to receive our entry and exit signals #AAPL
-
💰 13% Profit
-
💵 Join our Platinum Trading Room.… https://t.co/Jjc79Dydao"
1307436286022758410,GoogleRetweet,"RT @Ai2Stock: #StockMarket fell much in the last 3 weeks(since Sep. 2). ~26%, 9% and 11%  of #NASDQ, NYSE and TSX stocks fell more than 10%…"
1307436273645359105,Ai2Stock,"#StockMarket fell much in the last 3 weeks(since Sep. 2). ~26%, 9% and 11%  of #NASDQ, NYSE and TSX stocks fell mor… https://t.co/g0SFhnOAJs"
1307421059860307968,pop_ey_ch,"#AAPL 1D/4H stochs. On 1D ""could"" be bullish while LT &gt;50 and ST&lt;20 BUT think again, we have quite different situat… https://t.co/yhRenMCm2N"
1307420325995589634,pop_ey_ch,"#AAPL 1D/4H MACD. Have all ingredients to be short the stock.

#SPX https://t.co/JswEWKN9mC"
1307404978106044416,elliottwaves,"Group 3 Stocks &amp; ETF charts are updated in 4 time frames, weekly, daily , 4 &amp; 1 hour for members viewing… https://t.co/b8VMjPpzyX"
1307392777651658757,RunnymedeCap,5 of the 254 semiconductor companies posted an average profit larger when taken together than the profits made by t… https://t.co/7tLiWbaqmz
1307390995529707521,PennyStockPuntz,RT @matt801724: #GGP 2nd most purchased stock by ALL of Hargreaves Lansdowns customers last week...more than Apple #aapl and Tesla #tsla...…
1307380034491965440,matt801724,#GGP 2nd most purchased stock by ALL of Hargreaves Lansdowns customers last week...more than Apple #aapl and Tesla… https://t.co/Dc0f6Eu4Ft
1307376051937443840,YamAnalyst,APPLE Stock Analysis - #AAPL chart https://t.co/9LWlxFbfvm
1307373050388787200,SpiderMan_3s,"$AAPL - Daily

Another view...

Fri Close = 106

By Next Friday

--&gt; 116
or
--&gt; 96

Both looks possible...… https://t.co/A3eeSf7XER"
