datetime,author,body
1225409881219489792,PanovaOlga1,"RT @IsChinar: The state allowed this video out...hospital room which netizens are referring to as waiting room, take a guess what they are…"
1225409872490942465,mxtchha,"RT @YeahItsMe07: A Chinese nurse in a coronavirus-hit hospital in Henan Province gives her sobbing daughter an ""air hug."" #CoronavirusOutbr…"
1225409864731480066,TheDailyPioneer,#CorononaVirus : All 645 evacuated from Wuhan and kept in isolation at Army Base and ITBP camps test negative for c… https://t.co/CGYoY3MYEv
1225409862886019072,Lola_RF20,2 weeks home/stay place self quarantined after returning from mainland but how to monitor thousands people....I don… https://t.co/6gmJPTw6Qa
1225409838890528769,alanfulton2008,"RT @livecrisisnews: #BREAKING: Tencent may have accidently leaked real data about the coronavirus outbreak (source: Taiwan News) 

(TRANSLA…"
1225409838273961984,cybyst,RT @AJEnglish: #CoronavirusOutbreak death toll rises to 563 as the government rushes to build new hospitals and countries move to evacuate…
1225409815192592385,sep_hk,RT @MailOnline: China spent first few days of #CoronavirusOutbreak ARRESTING people for spreading 'rumours' that SARS had returned https://…
1225409783177433095,betaamrul,"RT @htommy998: 1/30  #CoronavirusOutbreak

Many coronavirus infected people showed no obvious symptoms. They fell into coma suddenly while…"
1225409737740738562,Christianjsilv,"RT @Mina32134295: #coronavirus #CoronavirusOutbreak The Chinese military has taken over parts of the control in Wuhan.
#coronavirus #Corona…"
1225409728655826948,AlgiersLady,RT @QuickTake: 🎶 China's state media releases the anthem “Believe Love Will Triumph” to keep spirits up while the nation fights the novel #…
1225409683227389953,HealthCareHR1,"RT @theviralvox: Actual #coronavirus death toll is 24,589 says tencent's alleged leaked report.

#CoronavirusOutbreak https://t.co/GaJWrKiO…"
1225409679397814272,Zainab_216,RT @TOIHyderabad: #CoronavirusOutbreak || 18 new suspected cases reported in #Hyderabad today. So far 37 others have tested negative @WHOSE…
1225409679196450816,linochim,"RT @QuickTake: Here’s how the #coronavirus has spread globally: 🇨🇳🇹🇭🇯🇵🇰🇷🇹🇼🇺🇸🇭🇰🇸🇬🇻🇳🇳🇵🇫🇷🇦🇺🇲🇾🇨🇦🇰🇭🇱🇰🇩🇪🇦🇪🇮🇳🇵🇭🇫🇮🇬🇧🇮🇹🇪🇸🇸🇪🇷🇺
#CoronavirusOutbreak h…"
