datetime,author,body
1308015825153007617,CapitalStreetFX,"Ford Motor Co
Buy At:- 7.35
Take Profit At:- 7.51
Stop Loss At:- 7.19

#fordmotorco #ford #fordmotor #mustang… https://t.co/fvL0aTDzsA"
1308012088204427265,emprendedoresin,RT @vidaysaludcompl: GOOGLE - #GOOG TradingView https://t.co/VsDRJDWoo8
1307985940804038657,designyourinves,#AMZN #FB #GOOG #GOOGL QQQ In A Correction: Buy The Dip https://t.co/G4pzoWmWM1
1307923151465197568,Khusboo23470756,"#alibabaInvest customer care {83450°67438}$halpline number in US stocks from India. Zero fees, Zero commission, Zer… https://t.co/Cu7O4uDqWr"
1307800843509542912,JorgeBascope,RT @vidaysaludcompl: GOOGLE - #GOOG TradingView https://t.co/VsDRJDWoo8
1307741894198341633,Gambiste1,RT @DelawareHere: Last updated 9/22/20- that’s Monday! Inovio PR Monday on P2/3 start?  Collaborator @CEPIvaccines  @InovioPharma @inoviolt…
1307699846464364546,rimkus_akwarius,RT @DelawareHere: Last updated 9/22/20- that’s Monday! Inovio PR Monday on P2/3 start?  Collaborator @CEPIvaccines  @InovioPharma @inoviolt…
1307693347868475392,lhgarciar,RT @DelawareHere: Last updated 9/22/20- that’s Monday! Inovio PR Monday on P2/3 start?  Collaborator @CEPIvaccines  @InovioPharma @inoviolt…
1307678435599364096,Investo29857819,RT @DelawareHere: Last updated 9/22/20- that’s Monday! Inovio PR Monday on P2/3 start?  Collaborator @CEPIvaccines  @InovioPharma @inoviolt…
1307655939382824960,NVSData,RT @AIApparelStore: What's up with this tee! #datascience #artificialintelligence #machinelearning #ai #ml #cloudcomputing #googlecloudplat…
1307655916733558784,abhibisht89,RT @AIApparelStore: What's up with this tee! #datascience #artificialintelligence #machinelearning #ai #ml #cloudcomputing #googlecloudplat…
1307655545063694343,ThomasClone_US,RT @AIApparelStore: What's up with this tee! #datascience #artificialintelligence #machinelearning #ai #ml #cloudcomputing #googlecloudplat…
1307655520963223560,AIApparelStore,What's up with this tee! #datascience #artificialintelligence #machinelearning #ai #ml #cloudcomputing… https://t.co/QYPFU2WqSj
1307635415269158912,HWillert,#Alphabet (#GOOG) May Tap #BondMarket at Low Rates for #SustainableProjects - Bloomberg https://t.co/aXr1K8ivCM
1307527587049213953,lily04022018,RT @DelawareHere: Last updated 9/22/20- that’s Monday! Inovio PR Monday on P2/3 start?  Collaborator @CEPIvaccines  @InovioPharma @inoviolt…
1307526342305550337,DelawareHere,Last updated 9/22/20- that’s Monday! Inovio PR Monday on P2/3 start?  Collaborator @CEPIvaccines  @InovioPharma… https://t.co/1CcjJTufoa
1307467186961887233,hawaiivacati,RT @vidaysaludcompl: GOOGLE - #GOOG TradingView https://t.co/VsDRJDWoo8
1307465511668678657,weightdrinks,RT @vidaysaludcompl: GOOGLE - #GOOG TradingView https://t.co/VsDRJDWoo8
1307405871782207488,GoogleRetweet,RT @OptionMaster10: $GOOG Another one to have an eye on this week. Just crossed below the 1500 level. Was just at 1700. RSI oversold on the…
1307405806971883520,OptionMaster10,$GOOG Another one to have an eye on this week. Just crossed below the 1500 level. Was just at 1700. RSI oversold on… https://t.co/f9ojiNsJIi
1307340055145447424,JasonSwitch7,"Your #free #stock is waiting for you! Join #Robinhood and we'll both get a stock like #Apple, #Ford, or #Facebook f… https://t.co/XNQ0dPK6s4"
1307333686954618881,ClanOfKrishna,"RT @winvesta: Invest in US stocks from India. Zero fees, Zero commission, Zero hassle. Open an account in minutes and start building your g…"
1307331643003281408,AWrikat,"Conclusion :#snow is a bubble, better to invest in #amzn #msft #goog"
1307196712319102976,SpiderMan_3s,"$SPY

Daily Charts of
Some ETFs &amp; High Beta stocks
i.e. #SPY, #QQQ, #AAPL #FB #GOOG etc.

Kind a look like
""Head &amp;… https://t.co/saabB1UtjM"
1307141768169820160,SpiderMan_3s,"$GOOG

Last weekend
I mentioned
For coming week
--&gt; 1460 looks possible
--&gt; 1450 Extreme

Fri closed @ 1459 :)… https://t.co/oN4VO1Htew"
1307066925210644487,GoogleRetweet,"RT @tq_equities: $GOOG slips to lowest close since July 1st: https://t.co/WiDieci77r
Sentiment: Bearish #GOOG #Google"
1307066857187409921,tq_equities,"$GOOG slips to lowest close since July 1st: https://t.co/WiDieci77r
Sentiment: Bearish #GOOG #Google"
1307051951566327808,livefit_85,"RT @TradingSurfers: S&amp;P 500 CFD Update 📉

Charts are released earlier in our Discord group #joinus

#Elliottwave #stockstowatch #StocksToTr…"
1307030186018459648,uchaudh4,Time to buy this dip in #Nasdaq stocks. Next week should be a nice pop. #spy #qld #qqq #aapl #nflx #goog
1307026999219687424,GoogleRetweet,RT @KumarKshitizKa1: GOOGLE PLAY STORE REMOVES PAYTM AND PAYTM FIRST GAMES APPS – #Google has removed the #Paytm and #PaytmFirstGamesapps f…
1307025171614756867,KumarKshitizKa1,GOOGLE PLAY STORE REMOVES PAYTM AND PAYTM FIRST GAMES APPS – #Google has removed the #Paytm and… https://t.co/94N1t5qTpg
1306974831708123136,WorkatHomeJB,RT @vidaysaludcompl: GOOGLE - #GOOG TradingView https://t.co/VsDRJDWoo8
1306973791243788289,CapitalStreetFX,"Silver Futures
Buy At- 27.610
Take Profit At- 28.630
Stop Loss At- 26.59
#SilverFutures #sliverprice #silver… https://t.co/viq7gH7ZAg"
1306973037988704257,ShivjiS35370459,"RT @winvesta: Invest in US stocks from India. Zero fees, Zero commission, Zero hassle. Open an account in minutes and start building your g…"
1306971050840920064,austin_tolchin,"RT @SpiderMan_3s: $QQQ

Anyone who is currently bashing #QQQ
&amp;
Tech Stocks
(#FB #AAPL #AMZN #GOOG #NFLX)

--&gt; As soon as these stocks go UP…"
1306969274955763712,SpiderMan_3s,"$QQQ

Anyone who is currently bashing #QQQ
&amp;
Tech Stocks
(#FB #AAPL #AMZN #GOOG #NFLX)

--&gt; As soon as these stocks… https://t.co/Po8KdgzAnS"
1306966001469227010,Rahuljo71776501,"RT @winvesta: Invest in US stocks from India. Zero fees, Zero commission, Zero hassle. Open an account in minutes and start building your g…"
1306941202319765504,TradingSurfers,"S&amp;P 500 CFD Update 📉

Charts are released earlier in our Discord group #joinus

#Elliottwave #stockstowatch… https://t.co/v7KfvpvU1t"
1306898222695284737,AnnEllerbrock,RT @OGBlueCrew: The theme for tomorrow’s football game at Bath will be BEACH 🏖 ☀️ 🏄‍♂️ #GOOG @AnnEllerbrock
1306807452294410241,CasualtyWar,RT @TrendSpider: $GOOG #GOOG Another abandoned baby!! This is going to be a crazy day tomorrow... https://t.co/c2mMctwM3B
1306803057515257858,pjcarrillop_,RT @TrendSpider: $GOOG #GOOG Another abandoned baby!! This is going to be a crazy day tomorrow... https://t.co/c2mMctwM3B
