datetime,author,body
1224724275900375042,2020-02-04 15:59:56,"My Approval Rating in the Republican Party = 95%, a record! Big Iowa win. Approval Rating overall = 53%, a new high… https://t.co/YEXBEfdjIL"
1224722351125823491,2020-02-04 15:52:17,"Market up big today on very good economic news. JOBS, JOBS, JOBS!"
1224705518205317126,2020-02-04 14:45:24,RT @CLewandowski_: It’s an honor to caucus for ⁦@realDonaldTrump⁩ at a packed house at the Panorama Elementary School in Iowa!  On to Victo…
1224705322037776386,2020-02-04 14:44:37,"RT @TeamTrump: The Republican Party Has Never Been More United!

#IowaCaucuses https://t.co/scbXdkvOag"
1224705310197211137,2020-02-04 14:44:34,"RT @GOPChairwoman: Congratulations to the winner of the #IACaucus: @realDonaldTrump. 

He won Iowa big in 2016, and he's going to carry it…"
1224705202307129346,2020-02-04 14:44:08,"RT @LaraLeaTrump: No matter who wins tonight on the democrat side, we know that America feels the incredible results of the President’s pol…"
1224705069809008644,2020-02-04 14:43:37,RT @EricTrump: What an unbelievable night in #Iowa! The turnout and support for @realDonaldTrump was off the charts! #MAGA #NorwalkIA 🇺🇸🇺🇸…
1224704998044508164,2020-02-04 14:43:20,"RT @TeamTrump: Meanwhile...

President @realDonaldTrump CRUSHED all incumbent turnout records in Iowa! 

#IACaucus"
1224704962627866626,2020-02-04 14:43:11,RT @GOPChairwoman: Congratulations to @realDonaldTrump for officially breaking the turnout record for an incumbent president in the #IACauc…
1224704916679274496,2020-02-04 14:43:00,RT @piersmorgan: 🤣
1224704797221236737,2020-02-04 14:42:32,"RT @GOPChairwoman: While the #IACaucus outcome is still uncertain for Democrats, the Republican Party is more unified than ever behind @rea…"
1224704679852023809,2020-02-04 14:42:04,RT @piersmorgan: He's got a point...how many more self-inflicted 2020 election gifts are  Democrats going to hand their opponent?  #Iowa #I…
1224703970922434560,2020-02-04 14:39:15,"RT @EricTrump: My father always says he has 95% Republican support... Last night he was proven wrong — in fact, @realDonaldTrump has 97.1%…"
1224702718754856960,2020-02-04 14:34:16,"The Democrat Party in Iowa really messed up, but the Republican Party did not. I had the largest re-election vote i… https://t.co/4KWXwXhQ3v"
1224699832901799939,2020-02-04 14:22:48,"When will the Democrats start blaming RUSSIA, RUSSIA, RUSSIA, instead of their own incompetence for the voting disa… https://t.co/6Lxb1hnROi"
1224685852133031936,2020-02-04 13:27:15,"It is not the fault of Iowa, it is the Do Nothing Democrats fault. As long as I am President, Iowa will stay where… https://t.co/3HkBz2pxDt"
1224684209089982464,2020-02-04 13:20:43,RT @awzurcher: Here’s your Iowa democracy in action - a coin toss to determine who gets the last delegate out of this #IowaCaucus precinct…
1224683911634178049,2020-02-04 13:19:32,"RT @guypbenson: “No, but seriously, let us run your healthcare,” they said."
1224683750962925569,2020-02-04 13:18:54,"RT @NateSilver538: At this point, it's been 3.6 hours since the start of the caucuses and 1.9% of precincts have reported results, which ex…"
1224683567369916416,2020-02-04 13:18:10,"RT @BretBaier: The Iowa Democratic Party said it has found ""inconsistencies"" in the reporting of the caucus results, but says there was no…"
1224683472016543744,2020-02-04 13:17:47,RT @DailyMail: Supporters wait to find out what is happening as the Democratic results are plunged into chaos #IowaCaucuses https://t.co/oC…
1224682674775908352,2020-02-04 13:14:37,"RT @agearan: Trump 2020 campaign manager Brad Parscale:  
“Democrats are stewing in a caucus mess of their own creation with the sloppiest…"
1224681536567627776,2020-02-04 13:10:06,RT @HawleyMO: Can’t wait to see the Chiefs at the White House! #ChiefsKingdom
1224681180123082752,2020-02-04 13:08:41,RT @HawleyMO: https://t.co/B71SbCzgW5
1224681131951493121,2020-02-04 13:08:29,RT @HawleyMO: Today I will introduce in the Senate a resolution honoring the Chiefs as SUPER BOWL CHAMPIONS #ChiefsKingdom
1224679531606355968,2020-02-04 13:02:08,RT @DanScavino: https://t.co/Wfqk54w0wV
1224657196392370177,2020-02-04 11:33:23,"The Democrat Caucus is an unmitigated disaster. Nothing works, just like they ran the Country. Remember the  5 Bill… https://t.co/gfWXBssT0H"
1224550106462138368,2020-02-04 04:27:51,Big WIN for us in Iowa tonight. Thank you!
1224548975157686272,2020-02-04 04:23:21,"RT @SaraCarterDC: #EXCLUSIVE

GOP Investigation:Thousands Of Obama Admin Docs Under Review Regarding Ukraine White House Meetings 

Read my…"
1224548665743892480,2020-02-04 04:22:07,RT @JohnBoozman: My full statement on my vote to move the impeachment trial to the next stage: https://t.co/7aJcyduDlf
1224547020410630144,2020-02-04 04:15:35,"RT @SenMcSallyAZ: .@POTUS continues the effort to end human trafficking. In 2018, I helped pass the SOAR Act in the House to train our heal…"
1224546193759449088,2020-02-04 04:12:18,"RT @SenMcSallyAZ: Marana’s busy airport can continue to grow safely thanks to funding for an air traffic control tower.
https://t.co/VTcBOQ…"
