datetime,author,body
1220698360824389639,MonsieurDream,RT @dbzvisuals: father of the year https://t.co/w8E3sptzWJ
1220356019592876037,MonsieurDream,@MolotovTV @HadrienPrevost Comment je fais pour regarder le premier épisode ?
1220266158844235777,MonsieurDream,@baptastro @afpfr Dans 20 ans j’aurais 50 ans mec.
1220099600880742401,MonsieurDream,@SAbdelhamid 😐
1220083319448252416,MonsieurDream,Sur quelle plateforme on peut voir Dragon Ball en vostfr ? Merci 🐉
1219341433125117952,MonsieurDream,"C’est parti pour l’émission en direct ✌️

&gt; https://t.co/W6Fo5KcE7l https://t.co/E9ASEbLC08"
1219202369550004224,MonsieurDream,@patatelu @NetflixFR OK je vois.
1219199766623674368,MonsieurDream,"@NetflixFR Jamais entendu parler, c’est pour les enfants ?"
1218953659985408000,MonsieurDream,@Korkmazserif2 chigaimasu 🙅‍♂️
1218947118938849280,MonsieurDream,@Tineex_ 🤷‍♂️ https://t.co/qvoo7oXVkE
1218943076078620673,MonsieurDream,"Kikoo lundi à 20h30 j’invite @lenasituations dans « 301 vues » en direct sur @LeStreamFR 

Vous pouvez poser vos qu… https://t.co/32gFnrNeue"
1218870476925259777,MonsieurDream,@jeremieperin @Gobite @Bobbypills_ 👏 hâte de voir !
1218847489480065024,MonsieurDream,@R49673737 Navré.
1218227080262975488,MonsieurDream,RT @NormanDesVideos: L’ÉPISODE 3 de ma série LE TALISMAN est DISPO🔮😈3️⃣ ! (ft @Ludovik) RT si vous aimez ! https://t.co/bCetJYkBoY
1217850281456820225,MonsieurDream,RT @MisterVonline: Je crois que Will Smith peut mourir tranquille après cette vidéo. Ou alors c’est moi je sais plus https://t.co/tdOJtdqijp
1217600799158820865,MonsieurDream,@heybitethis @delgoff @Jauzofficial Putain il me faut ça.
1216804324455698433,MonsieurDream,"C’est parti pour le live avec @jmnl et @DrNozman 

&gt; https://t.co/hRMwiSHpjP https://t.co/ZS0g6l48Fv"
1216655762061176833,MonsieurDream,Bonne journée. https://t.co/yFXPjb4f5S
1216469473189822470,MonsieurDream,"RT @Les_Parasites: L'EFFONDREMENT [EP3] L'Aérodrome disponible sur Les Parasites ! 
https://t.co/iMRHVOF6mj"
1216389590199799809,MonsieurDream,"RT @kyank: À 18heures ce soir, je lance ma nouvelle émission Hebdo ! Ce soir émission SPÉCIALE BLOQUÉS avec ORELSAN et GRINGE et les auteur…"
1216387366912438280,MonsieurDream,Lundi à 20h30 on reprend l’émission « 301 vues » sur @LeStreamFR ! J’invite @DrNozman alors si vous avez des questi… https://t.co/HMCDmr4UDV
1216324964787331072,MonsieurDream,Ok. https://t.co/FP4LZn14xR
1216040990697574400,MonsieurDream,"Nouvelle vidéo sur la chaîne de @DorotheePousseo ✌️
Partage ça allègrement !

https://t.co/IgOH4d8MEz"
1215697178519375873,MonsieurDream,"RT @AkimOmiri: C’est très bientôt alors prenez les dernières places ! Hâte de vous voir 😉

https://t.co/p4lU1jrLcC https://t.co/Jh3vOwwff3"
1215692168419008514,MonsieurDream,"@shultzzi J’en avais parlé dans 301 vues, si j’arrive à faire les 2 premières saisons en dessin animé, je fais la saison 3 également !"
1215691745272483841,MonsieurDream,@G33K_4_Lif3 @Frederic_Molas Ça arrive semaine pro ! On a de retard dans les publications 🤷‍♂️
1215677743448449024,MonsieurDream,@laupocute Merci à toi ✌️⛩
1215676356991778824,MonsieurDream,Coucou 2020 #projetsecretplutotevident https://t.co/iUbg0HLtKh
1215674091098734593,MonsieurDream,RT @NormanDesVideos: L’ÉPISODE 2 de ma série LE TALISMAN est dispo sur ma chaîne YouTube 🧿😈 (ft @Ludovik) RT si vous aimez ! https://t.co/z…
1215674003286904833,MonsieurDream,"Coucou, je vous parle de mes projets de film, court métrage, jeu mobile et dessin animé dans cette vidéo. Cordialem… https://t.co/ufSRyGgIXN"
1215326710020833280,MonsieurDream,@RedouaneIzem Faut protéger ses droits quoi 🤷‍♂️✈️
1214861259667124225,MonsieurDream,"RT @CHAISEorg: Nouvelle vidéo. Je dois vous dire que je j'ai sur le coeur

https://t.co/XQrWn3FPlj https://t.co/1GwQq3WbEc"
1214477234477699072,MonsieurDream,RT @kyank: Après on va encore dire c’est un mytho. https://t.co/An3iJneyRy
1213818468996435970,MonsieurDream,@chance_meeting @FactoryWebtoon Génial ! Hâte de lire 👏
1212799136057217030,MonsieurDream,"RT @NormanDesVideos: DEMAIN 17H sur ma chaîne YouTube, je sors ma nouvelle série « Le Talisman » produite en indépendant et réalisée par @L…"
1212028431577292801,MonsieurDream,"RT @F_Descraques: Mon année 2019 (en terme de projets qui sont sortis)

-MINORI : https://t.co/reHrxOSp5F

-MYSTÈRES À ST-JACUT : https://t…"
1211532065390379009,MonsieurDream,"RT @Thomasintokyo: Father &amp; Sons' Design Workshop
親子デザイン工房 ✍️🎨

No.67 - OXIS-MUSCULA

Original Design: son
Watercolor Illustration : dad

T…"
1210596825503285253,MonsieurDream,RT @JulienJosselin: On a fait un loup garou sur la chaine de @MonsieurDream pour feter la sortie de The Witcher sur @NetflixFR ! Hésitez pa…
1210569943445639168,MonsieurDream,@JHONRACHID @NetflixFR Discours de perdant.
1210549066423308289,MonsieurDream,"Nouvelle vidéo : La partie de loup garou la plus dingue 🐺 Dans les décors et costumes de #TheWitcher 

&gt;… https://t.co/9SOkZyzWsc"
1210529064970272768,MonsieurDream,"Chépa, j’ai juste dessiné un vieux en galère de batterie 👴🏻🔌📱 https://t.co/EhZIUZpFBd"
1210523337291706374,MonsieurDream,"RT @Seb_Frit: Yoooo! Pour ceux qui ont loupé hier soir et qui voulaient le voir, il est disponible en replay : https://t.co/fR42zpBmw4"
1210142621882048512,MonsieurDream,Dessin post-Noël 👤🛏🚪 https://t.co/qRqisZgWVU
1209471812125548545,MonsieurDream,"Pas de réalité augmentée cette fois-ci, juste un litchi à poil ✍️ https://t.co/fg2D7cj5MN"
1209232595873095687,MonsieurDream,@MothyBrainShot Comme les youtubeurs qui demandent un pouce en l’air en début de vidéo.
1209080246739308545,MonsieurDream,"RT @konbininews: Pourquoi l’alcool fait-il tourner la tête et donne mal au crâne ? Le black-out, ça vient d'où ? Le Youtubeur @jmnl de ""Dan…"
1208708000854298625,MonsieurDream,"@CedricBKOff C’est un nouvel iPhone, elles sont dans le turfu 🤷‍♂️"
1208502819654905858,MonsieurDream,"RT @DreadfulK: In my spare time I love to paint small landscapes with a fantasy/fan art flare 

You can contact me for freelance at: ekrenz…"
1208461361459671040,MonsieurDream,@ophelielazarus 💁‍♀️
1208446100090314758,MonsieurDream,RT @MisterVonline: Olalalala j’vais tellement vous sauter dessus (le premier qui me touche le cul on le goume). Prends tes places en sah bo…
1208351977891147776,MonsieurDream,"Zoé et Alice sont de retour pour vous influencer ❄️💁‍♀️⛷ 

https://t.co/0tqqSImHjJ

Elles désirent être RT au plus vite ☃️"
1208349242223419392,MonsieurDream,"RT @Ludovik: 🔴NOUVELLE VIDÉO : LE PÈRE NOËL EST UN FDP 5 🎅
Le dernier épisode de la trilogie : PÈRE NOËL ORIGINS.
▶  https://t.co/arFYXucU1…"
1208337554954739713,MonsieurDream,"Très heureux de participer au lancement de la chaîne de @DorotheePousseo (voix française de Tracer, Margot Robbie,… https://t.co/yPLgwAjWo6"
1207996780555767808,MonsieurDream,@pierrelapin ✌️
1207930321347452928,MonsieurDream,RT @MisterVonline: MVP DANS LES BACS À PARTIR DU 31 JANVIER 2020 // PRÉ-COMMANDE L’ALBUM ICI : https://t.co/GgvLoPpPs5 https://t.co/tOC5Xic…
1207880989235695621,MonsieurDream,@Axl_Snow Génial ! Il est chargé à 100% en plus c’est satisfaisant
1207766465589456896,MonsieurDream,RT @Hakimjemili: Les frérots ça y’est j’ai ENFIN l’immense joie de lancer mon premier spectacle !! Ça démarre le 5 février prochain à l’eur…
1207201224820482048,MonsieurDream,RT @NormanDesVideos: DEMAIN débute enfin la tournée de mon nouveau spectacle sur scène: LE SPECTACLE DE LA MATURITÉ ! Petite pression mais…
1206926696953401345,MonsieurDream,"RT @Seb_Frit: Voici le teaser du documentaire.

#LaVraieAventure 🌏💙

Réservez votre soirée le 26 décembre, 20h50 sur @tfx 🤫 https://t.co/GK…"
1206553996414083072,MonsieurDream,"RT @Les_Parasites: LÂCHEZ TOUT !!
""La Station Service"", l'épisode 2 de L'EFFONDREMENT est sur youtube !
On regarde, on partage et on surtou…"
1206239903983525889,MonsieurDream,@NetflixFR Oh putain ça c’est bon ! @benbocquelet 👍👍
1206186307342491649,MonsieurDream,"Bonne journée 🧸
https://t.co/IG57lPybVX"
1206184907288064006,MonsieurDream,@Kekeflipnote T’es le meilleur 😂
1206181315411947520,MonsieurDream,@karyn_nishi Ça dit quoi ?
1206149615659171840,MonsieurDream,"RT @JulienJosselin: MON HÉRO @jackblack DESSINE, JE ME FAIT TATOUER !!

La vidéo complète ici :
https://t.co/qyQ720Zzhj https://t.co/ERmDbX…"
1205203565037473792,MonsieurDream,@MisterVonline Toi alors ! 👏
1205191622687961089,MonsieurDream,@LamHua @le_Parisien 301 vues ✌️
1205145729678880774,MonsieurDream,"RT @pierrelapin: Quelle terrible manque de lucidité de croire que les personnes malades sont des êtres faibles.
Perso encaisser ponctions l…"
1205017987293622272,MonsieurDream,"@pierrelapin Il te visait directement, je vois que ça."
1204834283157938178,MonsieurDream,@JHONRACHID @KyleandKenny @AdultSwimFrance Une mouche à merde 😂
1204325592436486145,MonsieurDream,RT @Thdark101: Calling this Bulma drawing done. https://t.co/lpMNhIaFId
1203952314253484032,MonsieurDream,@chp_elisa C’est pour toi @TimotheeHochet ❤️
1203768729441570817,MonsieurDream,"Il n’y aura pas d’émission « 301 vues » lundi, ça reprend en janvier ! Les best of et les podcasts des précédentes… https://t.co/w1c4UAVjuw"
1203697247273308160,MonsieurDream,"RT @F_Descraques: Souvenirs du #TelethonGaming où j’ai perdu à Mario Kart, au quizz Ciné de @TalesFromClick et au Loup-Garou de @LucienMain…"
1203629539638890497,MonsieurDream,@BakaBoo_ Memories of murder.
1203448403130290178,MonsieurDream,@YvesBalak Aaron Sorkin en sueur.
1203334242408771585,MonsieurDream,"Nouvelle vidéo : LES PUBS vs. LA VIE 4 ! Avec @Nato_o 

https://t.co/lztvGiOd5X

Balance ton #RT de folie"
1203060975974387712,MonsieurDream,"RT @MathieuBablet: Je viens enfin de voir le premier épisode de ""l'Effondrement"", un grand bravo à vous @Les_Parasites !

C'est juste hors…"
1203008374025129991,MonsieurDream,"RT @PrimeVideoFR: Vous les connaissez forcément. Enfin, c’est ce que vous pensez.

#TrueStory, avec @NormanDesVideos, @MonsieurDream, @Nato…"
1201849865334071298,MonsieurDream,@jmnl Ce passage m’a achevé 😧
1201512588955308032,MonsieurDream,"À 20h30 en direct sur @LeStreamFR j’accueille @Nato_o dans mon émission « 301 vues » !

On va répondre à vos questi… https://t.co/NQiyz6vvZW"
1201081487476568064,MonsieurDream,"RT @MaxLaperouse: La suite de Zozotour est là, mes aventures de tournée !
Partagez moi ça en masse mes loulous !
https://t.co/YtQDW2hNNo ht…"
1200728306154377281,MonsieurDream,"RT @Thomasintokyo: Reportage sur notre communauté de Français expatriés dans le monde de l’animation au Japon.
@studionoborder 
https://t.c…"
1200512644186292224,MonsieurDream,"@pvnova Ça va être stylé, bon tournage !"
1200122723898449921,MonsieurDream,@JulienJosselin « Netflix &amp; chill ce soir ? Par contre j’ai qu’un lit superposé »
1200078077835001858,MonsieurDream,@Inoxtag @valouzz_ Je renvoie ce sosie sur @JoycaOff
1199729952544964608,MonsieurDream,RT @FreddyGladieux: Mais... https://t.co/M3RxtGupzf
1199712923356213248,MonsieurDream,RT @juanbuis: someone swapped the batman and catwoman character models and... oh my god https://t.co/BneQFmdIzf
1199046089065799682,MonsieurDream,"C’est maintenant jusqu’à 22h

&gt; https://t.co/Cav7gpMnPb https://t.co/90uBsIzpzZ"
1198936485606690816,MonsieurDream,RT @jacobccfisher: me following my friends on social media https://t.co/9mxTjkz7pG
1198746531601494018,MonsieurDream,@LucaNiculescu @KlausIohannis Super nom de parti en tout cas.
1198640078454697984,MonsieurDream,@Kasamat69059717 Non.
1198294040237805568,MonsieurDream,"Le talentueux @pvnova n’a plus que quelques heures pour financer son beau projet, à vous de jouer ! https://t.co/x9wb3oh3xl"
1198217824881262592,MonsieurDream,@LucaNiculescu @MAERomania @francediplo 👍👍 🇷🇴
1198174126357336065,MonsieurDream,RT @LaFermeJerome: https://t.co/A2GCfyPWVn
1197927986068107266,MonsieurDream,"Lundi à 20h30, je reçois @Frederic_Molas &amp; @Seb_du_Grenier dans « 301 vues » en live sur @LeStreamFR 

On va parler… https://t.co/ryc8cDrsDt"
1197920795210719237,MonsieurDream,"RT @leroidesrats: Nouvelle vidéo ! On va parler aujourd'hui de cette nouvelle ""mode"" des comptes instagram pour enfant avec notamment des p…"
1197838866281107456,MonsieurDream,@LaureBuliiV Nickel le spoil.
1197563077782364168,MonsieurDream,"RT @Myfuckinmess: AUTANT EN EMPORTE LE ZEVENT #1
Moman se questionne.
❤️https://t.co/wioAw0CBYT❤️
Avec les voix de @MrAntoineDaniel @Zerato…"
1197476483234697217,MonsieurDream,"@Scratinator On est dessus, t'inquiètes :)"
1197278632965804038,MonsieurDream,"RT @MrSakon_: Je viens de découvrir @Pommeofficial avec cette vidéo et celle de @MonsieurDream ET OUAH LA DOUCEUR DE CETTE PERSONNE
Puis te…"
1197114445635436545,MonsieurDream,@TheLuckyLarson Pas sûr de la qualité artistique des dessins 😅 big up au lycée Jean Moulin et aux professeurs 👍👍
1196810620995289088,MonsieurDream,@JHONRACHID @laboitecom Franchement il est... excellent.
1196805194828386309,MonsieurDream,"RT @dowdow_v: 구출👮
Rescue https://t.co/dTYOm0J3kv"
