text,text_lower,label
Wuhan,wuhan,GPE
#coronavirus #CoronavirusOutbreak #Wuhan #,#coronavirus #coronavirusoutbreak #wuhan #,MONEY
Indian,indian,NORP
RT @EpochTimesChina,rt @epochtimeschina,PERSON
China,china,GPE
International Center of Cyber Law,international center of cyber law,ORG
SocialMedia,socialmedia,PERSON
#sas #,#sas #,MONEY
CoronavirusOutbreak,coronavirusoutbreak,PERSON
China,china,GPE
Ge,ge,ORG
China,china,GPE
#COVID2019 #,#covid2019 #,MONEY
Jiangsu,jiangsu,GPE
millions,millions,CARDINAL
First,first,ORDINAL
second,second,ORDINAL
third,third,ORDINAL
Chinese,chinese,NORP
Australia,australia,GPE
China,china,GPE
India,india,GPE
Singap,singap,PERSON
Chinese,chinese,NORP
RT @WarRoom2020:,rt @warroom2020:,WORK_OF_ART
XiJinping,xijinping,PERSON
WorldSavior_SaintRampalJi,worldsavior_saintrampalji,PERSON
Nostradamus,nostradamus,PERSON
That Saviour Of The World,that saviour of the world,WORK_OF_ART
Hindustan,hindustan,GPE
200,200,CARDINAL
Germany,germany,GPE
16,16,CARDINAL
coronavirus,coronavirus,PERSON
#coronavirus #,#coronavirus #,MONEY
Jiangsu,jiangsu,GPE
millions,millions,CARDINAL
second,second,ORDINAL
two,two,CARDINAL
Hangzhou,hangzhou,GPE
China,china,GPE
Chinese,chinese,NORP
Wuha,wuha,PERSON
CoronavirusOutbreak,coronavirusoutbreak,PERSON
China,china,GPE
Chongqing,chongqing,GPE
First,first,ORDINAL
second,second,ORDINAL
third,third,ORDINAL
CoronavirusOutbreak,coronavirusoutbreak,PERSON
China,china,GPE
Chongqing,chongqing,GPE
RT @BeThePlan,rt @betheplan,PERSON
Hangzhou,hangzhou,GPE
China,china,GPE
Chinese,chinese,NORP
Wuha,wuha,PERSON
🇸,🇸,ORG
🇸🇬,🇸🇬,ORG
🇳🇳🇵🇫🇷🇦,🇳🇳🇵🇫🇷🇦,ORG
🇳🇵🇭🇫,🇳🇵🇭🇫,ORG
🇹,🇹,DATE
🇸🇸,🇸🇸,ORG
CoronavirusOutbreak h…,coronavirusoutbreak h…,FAC
Jeff Bezos,jeff bezos,PERSON
first,first,ORDINAL
economy &amp,economy &amp,ORG
$4 billions,$4 billions,MONEY
Govt,govt,ORG
half,half,CARDINAL
CoronavirusOutbreak,coronavirusoutbreak,PERSON
WARNING,warning,PERSON
CoronavirusOutbre,coronavirusoutbre,PERSON
Chinese,chinese,NORP
RT @HongKongFP,rt @hongkongfp,WORK_OF_ART
Hongkonger,hongkonger,PERSON
U.S Customs,u.s customs,ORG
Chinese,chinese,NORP
the United States,the united states,GPE
China,china,GPE
#coronavirus,#coronavirus,MONEY
CoronavirusOutbr,coronavirusoutbr,ORG
China,china,GPE
11 million,11 million,CARDINAL
three weeks,three weeks,DATE
Corona,corona,PERSON
China,china,GPE
11 million,11 million,CARDINAL
three weeks,three weeks,DATE
Corona,corona,PERSON
China,china,GPE
China,china,GPE
Wuhan,wuhan,GPE
china,china,GPE
WTF,wtf,ORG
#coronavirus #CoronavirusOutbreak #coronavirusjapan #coronaviruschina,#coronavirus #coronavirusoutbreak #coronavirusjapan #coronaviruschina,MONEY
Okinawa,okinawa,GPE
DiamondPrincess,diamondprincess,PERSON
Chinese,chinese,NORP
Satan,satan,LOC
RT @PhilipM42333347,rt @philipm42333347,PERSON
HEALTHCARE,healthcare,ORG
OPTIONS,options,PRODUCT
Chinese,chinese,NORP
SuperBall,superball,PRODUCT
Carrie Lam,carrie lam,PERSON
HKgers,hkgers,ORG
StandWithHongKong,standwithhongkong,MONEY
Neil Ferguson,neil ferguson,PERSON
BBC,bbc,ORG
Hangzhou,hangzhou,GPE
China,china,GPE
Chinese,chinese,NORP
Wuha,wuha,PERSON
Neil Ferguson,neil ferguson,PERSON
BBC,bbc,ORG
Barron's,barron's,ORG
China,china,GPE
Coronavirus,coronavirus,PERSON
WARNING,warning,PERSON
CoronavirusOutbre,coronavirusoutbre,PERSON
Hong Kong,hong kong,GPE
Valentine,valentine,PERSON
#HongKong #,#hongkong #,MONEY
China,china,GPE
Ram Ram ji,ram ram ji,PERSON
China,china,GPE
WorldSavior_SaintRampalJi,worldsavior_saintrampalji,PERSON
Nostradamus,nostradamus,PERSON
That Saviour Of The World,that saviour of the world,WORK_OF_ART
Hindustan,hindustan,GPE
@WHO #COVID19,@who #covid19,ORG
daily,daily,DATE
4,4,CARDINAL
🇳,🇳,ORG
"64,627","64,627",CARDINAL
"1,483Dead","1,483dead",CARDINAL
🇵,🇵,PERSON
1Dead,1dead,CARDINAL
🇸🇬 58,🇸🇬 58,ORG
🇰 53 &amp,🇰 53 &amp,DATE
1Dead,1dead,CARDINAL
🇹,🇹,DATE
33,33,CARDINAL
28,28,CARDINAL
19,19,DATE
16,16,CARDINAL
15,15,CARDINAL
15,15,CARDINAL
🇸 1… RT @timesofindia,🇸 1… rt @timesofindia,ORG
Coronavirus,coronavirus,PERSON
China,china,GPE
https://t.co/dwBmpwkIAu #COVID19,https://t.co/dwbmpwkiau #covid19,MONEY
CoronavirusOutbreak,coronavirusoutbreak,PERSON
Coronavirus,coronavirus,PERSON
Ramanad,ramanad,PERSON
Supreme,supreme,ORG
Saint… RT,saint… rt,FAC
Japan,japan,GPE
CoronavirusOutbreak,coronavirusoutbreak,PERSON
China,china,GPE
Coronaviruschina,coronaviruschina,PERSON
Wuhan,wuhan,GPE
China,china,GPE
#coronavirus,#coronavirus,MONEY
CoronavirusOutbr,coronavirusoutbr,ORG
Jiangsu,jiangsu,GPE
millions,millions,CARDINAL
Colona Virus,colona virus,PERSON
#2019nCoV #coronavirus,#2019ncov #coronavirus,MONEY
#ChinaVirus #CoronavirusOutbreak #COVID19,#chinavirus #coronavirusoutbreak #covid19,MONEY
daily,daily,DATE
4,4,CARDINAL
Wuhan,wuhan,GPE
Ravens,ravens,PERSON
CoronavirusOutbreak,coronavirusoutbreak,PERSON
American,american,NORP
China,china,GPE
CoronavirusOutbreak,coronavirusoutbreak,PERSON
Neil Ferguson,neil ferguson,PERSON
BBC,bbc,ORG
#day10 #coronavirus #coronavirusoutbreak #,#day10 #coronavirus #coronavirusoutbreak #,MONEY
#diamondprincess #HappyValentinesDay dessert,#diamondprincess #happyvalentinesday dessert,MONEY
Xi,xi,PERSON
Carrie Lam d…,carrie lam d…,PERSON
Jiangsu,jiangsu,GPE
millions,millions,CARDINAL
#coronavirus #CoronavirusOutbreak #coronavirusjapan #coronavirusgermany,#coronavirus #coronavirusoutbreak #coronavirusjapan #coronavirusgermany,MONEY
China,china,GPE
Chinese,chinese,NORP
Chinese,chinese,NORP
Edmonton,edmonton,GPE
#,#,CARDINAL
yea,yea,PERSON
@daxa_tw,@daxa_tw,PERSON
3,3,CARDINAL
February 14 12:24,february 14 12:24,DATE
iPhone,iphone,ORG
DiamondPrincess,diamondprincess,PERSON
Supreme,supreme,ORG
Saint,saint,GPE
China,china,GPE
america,america,GPE
japan,japan,GPE
CoronavirusOutbreak,coronavirusoutbreak,PERSON
4,4,CARDINAL
5,5,CARDINAL
China,china,GPE
WorldSavior_SaintRampalJi,worldsavior_saintrampalji,PERSON
Nostradamus,nostradamus,PERSON
That Saviour Of The World,that saviour of the world,WORK_OF_ART
Hindustan,hindustan,GPE
London,london,GPE
London,london,GPE
250,250,CARDINAL
China,china,GPE
Coronaviruschina,coronaviruschina,PERSON
Wuhan,wuhan,GPE
Jiangsu,jiangsu,GPE
millions,millions,CARDINAL
Wuhan,wuhan,GPE
Ravens,ravens,PERSON
CoronavirusOutbreak,coronavirusoutbreak,PERSON
Hangzhou,hangzhou,GPE
China,china,GPE
Chinese,chinese,NORP
Wuha,wuha,PERSON
Dozens of thousands,dozens of thousands,CARDINAL
China,china,GPE
11 million,11 million,CARDINAL
three weeks,three weeks,DATE
Corona,corona,PERSON
#day9,#day9,MONEY
#coronavirus #CoronavirusOutbreak #Quarantined,#coronavirus #coronavirusoutbreak #quarantined,MONEY
#diamondprincesscruise,#diamondprincesscruise,MONEY
US,us,GPE
CCP,ccp,ORG
RT @BeThePlan,rt @betheplan,PERSON
#coronavirus #CoronavirusOutbreak #Wuhan #coronaviruschina,#coronavirus #coronavirusoutbreak #wuhan #coronaviruschina,MONEY
#coronavirusaustralia #… RT,#coronavirusaustralia #… rt,MONEY
US,us,GPE
Party,party,ORG
The Affiliated Hospital of Chongqing Medical University,the affiliated hospital of chongqing medical university,ORG
fifth,fifth,ORDINAL
160,160,CARDINAL
the Communist Party,the communist party,ORG
Hainan island,hainan island,GPE
#coronavirus #CoronavirusOutbreak #Wuhan #cor… RT,#coronavirus #coronavirusoutbreak #wuhan #cor… rt,MONEY
@Commander5PH @INFANTRY28 @OfficialDGISPR,@commander5ph @infantry28 @officialdgispr,ORG
CoronavirusOutbreak,coronavirusoutbreak,PERSON
Melbourne,melbourne,GPE
Australia,australia,GPE
Inch,inch,PERSON
Wuhan,wuhan,GPE
#coronavirus #CoronavirusOutbreak #Wuh,#coronavirus #coronavirusoutbreak #wuh,MONEY
China,china,GPE
Wuhan,wuhan,GPE
Ravens,ravens,PERSON
CoronavirusOutbreak,coronavirusoutbreak,PERSON
Dozens of thousands,dozens of thousands,CARDINAL
🇳,🇳,ORG
"64,627","64,627",CARDINAL
"1,483Dead","1,483dead",CARDINAL
🇵,🇵,PERSON
1Dead,1dead,CARDINAL
🇸🇬 58,🇸🇬 58,ORG
🇰 53 &amp,🇰 53 &amp,DATE
1Dead,1dead,CARDINAL
🇹,🇹,DATE
33,33,CARDINAL
28,28,CARDINAL
19,19,DATE
16,16,CARDINAL
15,15,CARDINAL
15,15,CARDINAL
🇸 1… RT,🇸 1… rt,ORG
#coronavirus,#coronavirus,MONEY
#Wuhan #,#wuhan #,MONEY
China,china,GPE
WorldSavior_SaintRampalJi,worldsavior_saintrampalji,PERSON
France,france,GPE
Nostradamus,nostradamus,ORG
21st century,21st century,DATE
one,one,CARDINAL
WorldSavior_SaintRampalJi,worldsavior_saintrampalji,PERSON
Nostradamus,nostradamus,PERSON
That Saviour Of The World,that saviour of the world,WORK_OF_ART
Hindustan,hindustan,GPE
RT @BeThePlan,rt @betheplan,PERSON
Iran,iran,GPE
#coronavirusoutbreak #,#coronavirusoutbreak #,MONEY
Iran,iran,GPE
The National Institute of Allergy and,the national institute of allergy and,ORG
@NIAID,@niaid,ORG
#coronavirusoutbreak Strange,#coronavirusoutbreak strange,ORG
#day10 #coronavirus #coronavirusoutbreak #,#day10 #coronavirus #coronavirusoutbreak #,MONEY
#diamondprincess #HappyValentinesDay dessert,#diamondprincess #happyvalentinesday dessert,MONEY
RT @Rntk_,rt @rntk_,ORG
Coronavirus,coronavirus,ORG
Wuhan P4,wuhan p4,FAC
China,china,GPE
USA CDC,usa cdc,ORG
Wuh,wuh,PERSON
third,third,ORDINAL
WuhanCoronavirus,wuhancoronavirus,PERSON
WuhanCoronavirusOutbreak,wuhancoronavirusoutbreak,MONEY
CoronavirusOutb,coronavirusoutb,PRODUCT
U.S. Northern Command,u.s. northern command,ORG
COVID,covid,ORG
RT @BeThePlan,rt @betheplan,PRODUCT
China,china,GPE
CoronavirusOutbreak,coronavirusoutbreak,PERSON
China,china,GPE
Chongqing,chongqing,GPE
14,14,CARDINAL
#coronavirus #coronavirusoutbreak #,#coronavirus #coronavirusoutbreak #,MONEY
https://t.co/zxQEV9zYJa RT @DirtyWater2,https://t.co/zxqev9zyja rt @dirtywater2,ORG
some #,some #,CARDINAL
Japan,japan,GPE
her eighties,her eighties,DATE
Japan,japan,GPE
One,one,CARDINAL
#coronavirus,#coronavirus,MONEY
🇳,🇳,ORG
"64,627","64,627",CARDINAL
"1,483Dead","1,483dead",CARDINAL
🇵,🇵,PERSON
1Dead,1dead,CARDINAL
🇸🇬 58,🇸🇬 58,ORG
🇰 53 &amp,🇰 53 &amp,DATE
1Dead,1dead,CARDINAL
🇹,🇹,DATE
33,33,CARDINAL
28,28,CARDINAL
19,19,DATE
16,16,CARDINAL
15,15,CARDINAL
15,15,CARDINAL
🇸 1…,🇸 1…,ORG
Chernobyl &amp,chernobyl &amp,ORG
Coronavirus,coronavirus,ORG
1,1,CARDINAL
Refuse,refuse,PERSON
2,2,CARDINAL
3,3,CARDINAL
RT @johns20014,rt @johns20014,ORG
"#coronaviruswuhan
 ",#coronaviruswuhan,MONEY
CoronavirusOutbreak,coronavirusoutbreak,PERSON
1,1,CARDINAL
Jesus&amp;by prayer&amp;faith,jesus&amp;by prayer&amp;faith,PERSON
Gods Holy Spiri,gods holy spiri,PRODUCT
RT @timesofindia,rt @timesofindia,PRODUCT
China,china,GPE
#coronavirus,#coronavirus,MONEY
Chinese,chinese,NORP
china,china,GPE
week,week,DATE
Coronavirus,coronavirus,ORG
https://t.co/LkSTkzEELx,https://t.co/lkstkzeelx,ORG
About 30 minutes,about 30 minutes,TIME
2,2,CARDINAL
China,china,GPE
CoronavirusOutbreak,coronavirusoutbreak,PERSON
China,china,GPE
CoronavirusOutbreak,coronavirusoutbreak,PERSON
French,french,NORP
Biche Doe,biche doe,PERSON
Dozens of thousands,dozens of thousands,CARDINAL
Coronavirus,coronavirus,PERSON
60%,60%,PERCENT
#COVID2019 #,#covid2019 #,MONEY
UPDATE,update,PERSON
Japan,japan,GPE
January 31,january 31,DATE
Dozens of thousands,dozens of thousands,CARDINAL
RT @AlexanderSpinn,rt @alexanderspinn,PERSON
STAT,stat,ORG
#coronavirus,#coronavirus,MONEY
@HelenBranswell's,@helenbranswell's,ORG
@CDCgov,@cdcgov,ORG
CDC,cdc,ORG
Chinese,chinese,NORP
working day,working day,DATE
Hubei province's,hubei province's,GPE
Friday,friday,DATE
116,116,CARDINAL
"4,823","4,823",CARDINAL
China,china,GPE
#coronavirus #CoronavirusOutbreak #,#coronavirus #coronavirusoutbreak #,MONEY
Chinese,chinese,NORP
San Deigo,san deigo,GPE
3rd,3rd,ORDINAL
Wuhan,wuhan,GPE
COVID19,covid19,MONEY
two,two,CARDINAL
Chinese,chinese,NORP
Supreme,supreme,ORG
Saint… RT,saint… rt,FAC
China,china,GPE
#coronavirus,#coronavirus,MONEY
CoronavirusOutbr,coronavirusoutbr,ORG
Wuhan,wuhan,GPE
Party,party,ORG
The Affiliated Hospital of Chongqing Medical University,the affiliated hospital of chongqing medical university,ORG
fifth,fifth,ORDINAL
160,160,CARDINAL
China,china,GPE
#coronavirus #CoronavirusOutbreak #Wuhan #coronaviruschina,#coronavirus #coronavirusoutbreak #wuhan #coronaviruschina,MONEY
WorldSavior_SaintRampalJi,worldsavior_saintrampalji,PERSON
Nostradamus,nostradamus,PERSON
That Saviour Of The World,that saviour of the world,WORK_OF_ART
Hindustan,hindustan,GPE
"CORONAVIRUS CASES RISE TO MORE THAN 65,000","coronavirus cases rise to more than 65,000",LAW
GLOBALLY,globally,ORG
China,china,GPE
"4,823","4,823",CARDINAL
WorldSavior_SaintRampalJi,worldsavior_saintrampalji,MONEY
Saint Rampal,saint rampal,PERSON
Dozens of thousands,dozens of thousands,CARDINAL
"Some 2,600 #","some 2,600 #",CARDINAL
China,china,GPE
Wuhan,wuhan,GPE
Japan,japan,GPE
44,44,CARDINAL
Wuhan,wuhan,GPE
China,china,GPE
america,america,GPE
japan,japan,GPE
CoronavirusOutbreak,coronavirusoutbreak,PERSON
